x y
3 3
3 3
4 4
4 3
5 5
5 4
5 4
5 3
6 5
6 3
7 6
7 5
7 4
7 5
7 4
7 4
8 6
8 5
8 5
8 4
9 6
9 5
9 4
9 5
9 4
9 4
10 7
10 4
10 4
10 5
11 8
11 6
11 5
11 5
11 4
11 6
11 5
11 5
11 5
11 6
12 8
12 5
12 6
12 6
13 8
13 6
13 5
13 5
13 5
13 5
13 6
13 4
13 5
13 5
13 5
13 6
14 8
14 5
14 5
14 5
14 5
14 7
15 8
15 7
15 6
15 5
15 7
15 6
15 5
15 6
16 8
16 6
16 5
16 6
16 8
16 6
16 5
16 7
17 9
17 6
17 7
17 6
17 5
17 6
17 5
17 6
17 6
17 5
17 5
17 5
17 5
17 5
17 5
17 7
18 9
18 5
18 6
18 5
18 6
18 7
19 9
19 7
19 6
19 6
19 6
19 5
19 5
19 6
19 6
19 7
19 6
19 6
19 5
19 5
19 6
19 5
19 6
19 7
20 9
20 6
20 6
20 6
20 8
20 5
20 5
20 7
21 9
21 7
21 6
21 6
21 7
21 6
21 7
21 6
21 6
21 5
21 6
21 8
22 10
22 6
22 6
22 5
22 6
22 6
22 6
22 6
22 6
22 8
23 11
23 8
23 7
23 6
23 7
23 6
23 6
23 7
23 6
23 6
23 6
23 8
23 6
23 7
23 6
23 7
23 6
23 7
23 6
23 6
23 6
23 8
24 11
24 7
24 7
24 7
24 8
24 7
24 7
24 9
25 11
25 7
25 6
25 6
25 6
25 6
25 5
25 6
25 6
25 7
25 7
25 6
25 6
25 7
25 6
25 6
25 6
25 6
25 7
25 9
26 11
26 7
26 6
26 6
26 7
26 6
26 6
26 6
26 6
26 6
26 6
26 8
27 11
27 8
27 6
27 6
27 6
27 6
27 7
27 6
27 6
27 8
27 6
27 6
27 7
27 6
27 6
27 6
27 6
27 9
28 11
28 7
28 6
28 7
28 6
28 7
28 9
28 6
28 6
28 6
28 7
28 9
29 11
29 8
29 6
29 7
29 7
29 7
29 6
29 6
29 7
29 6
29 7
29 6
29 6
29 6
29 8
29 7
29 7
29 6
29 6
29 6
29 6
29 7
29 6
29 6
29 6
29 6
29 7
29 9
30 11
30 7
30 8
30 7
30 7
30 8
30 7
30 9
31 11
31 8
31 6
